time,number
2014/1/5,0.118823749
2014/1/12,0.10781693
2014/1/19,0.124705961
2014/1/26,0.113257126
2014/2/2,0.090359455
2014/2/9,0.095365298
2014/2/16,0.064696671
2014/2/23,0.074268255
2014/3/2,0.085678779
2014/3/9,0.066893342
2014/3/16,0.063674718
2014/3/23,0.054038005
2014/3/30,0.059040016
2014/4/6,0.059472454
2014/4/13,0.051215424
2014/4/20,0.05347914
2014/4/27,0.053902
2014/5/4,0.066221458
2014/5/11,0.082660811
2014/5/18,0.080351123
2014/5/25,0.078033771
2014/6/1,0.096302486
2014/6/8,0.106796414
2014/6/15,0.109509808
2014/6/22,0.113602885
2014/6/29,0.083387767
2014/7/6,0.078337867
2014/7/13,0.072365623
2014/7/20,0.070964869
2014/7/27,0.066825818
2014/8/3,0.051699104
2014/8/10,0.063565052
2014/8/17,0.055306107
2014/8/24,0.081347694
2014/8/31,0.082239388
2014/9/7,0.087247146
2014/9/14,0.088586603
2014/9/21,0.068444468
2014/9/28,0.070239349
2014/10/5,0.070212532
2014/10/12,0.078877098
2014/10/19,0.099428684
2014/10/26,0.059165485
2014/11/2,0.113102923
2014/11/9,0.123589189
2014/11/16,0.13774184
2014/11/23,0.145042047
2014/11/30,0.151871504
2014/12/7,0.29405649
2014/12/14,0.270257547
2014/12/21,0.221306796
2014/12/28,0.22998094
2015/1/4,0.288499444
2015/1/11,0.254760287
2015/1/18,0.234014747
2015/1/25,0.205959424
2015/2/1,0.210817284
2015/2/8,0.271173448
2015/2/15,0.162608325
2015/2/22,0.094888729
2015/3/1,0.086935947
2015/3/8,0.102759759
2015/3/15,0.116164859
2015/3/22,0.119190803
2015/3/29,0.10818142
2015/4/5,0.102052891
2015/4/12,0.089829044
2015/4/19,0.088568593
2015/4/26,0.102573262
2015/5/3,0.110490277
2015/5/10,0.117787286
2015/5/17,0.116534499
2015/5/24,0.122606824
2015/5/31,0.141497455
2015/6/7,0.156109356
2015/6/14,0.157874849
2015/6/21,0.166993555
2015/6/28,0.154172695
2015/7/5,0.155348838
2015/7/12,0.143114772
2015/7/19,0.128456885
2015/7/26,0.108308359
2015/8/2,0.121690466
2015/8/9,0.097275984
2015/8/16,0.086274266
2015/8/23,0.096612547
2015/8/30,0.105723589
2015/9/6,0.096548678
2015/9/13,0.096533349
2015/9/20,0.077594178
2015/9/27,0.084883523
2015/10/4,0.079359671
2015/10/11,0.09763796
2015/10/18,0.090904752
2015/10/25,0.10734346
2015/11/1,0.131704293
2015/11/8,0.109116617
2015/11/15,0.098727241
2015/11/22,0.094428074
2015/11/29,0.096826347
2015/12/6,0.119357818
2015/12/13,0.121156522
2015/12/20,0.150400762
2015/12/27,0.185135643
2016/1/3,0.189353058
2016/1/10,0.16431346
2016/1/17,0.156368342
2016/1/24,0.143537263
2016/1/31,0.156301919
2016/2/7,0.172745736
2016/2/14,0.096496783
2016/2/21,0.097693365
2016/2/28,0.086689092
2016/3/6,0.086653325
2016/3/13,0.09272565
2016/3/20,0.080509467
2016/3/27,0.081091152
2016/4/3,0.078019223
2016/4/10,0.097506868
2016/4/17,0.102359618
2016/4/24,0.102326406
2016/5/1,0.117548094
2016/5/8,0.12424809
2016/5/15,0.132769783
2016/5/22,0.121755291
2016/5/29,0.132119119
2016/6/5,0.143682084
2016/6/12,0.155255268
2016/6/19,0.163144181
2016/6/26,0.15275736
2016/7/3,0.164922448
2016/7/10,0.181981162
2016/7/17,0.201473916
2016/7/24,0.202673052
2016/7/31,0.172783258
2016/8/7,0.14652664
2016/8/14,0.15624236
2016/8/21,0.172693842
2016/8/28,0.181215535
2016/9/4,0.197034236
2016/9/11,0.201289973
